iter	Passed	Remaining
183	433	1920
184	435	1918
185	437	1915
186	440	1914
187	442	1911
188	444	1906
189	446	1904
190	448	1901
191	450	1897
192	453	1896
193	456	1894
194	457	1890
195	460	1888
196	462	1886
197	464	1883
198	467	1880
199	469	1877
200	471	1874
201	474	1872
202	476	1869
203	478	1866
204	480	1864
205	482	1861
206	484	1857
207	487	1855
208	489	1853
209	491	1850
210	494	1847
211	496	1845
212	498	1841
213	500	1838
214	502	1834
215	504	1832
216	506	1828
217	509	1827
218	511	1823
219	513	1820
220	515	1816
221	517	1814
222	519	1811
223	522	1809
224	524	1808
225	527	1805
226	529	1804
227	532	1801
228	533	1797
229	536	1796
230	538	1792
231	540	1789
232	542	1786
233	545	1784
234	547	1781
235	549	1779
236	551	1776
237	554	1774
238	556	1772
239	558	1769
240	560	1766
241	563	1765
242	565	1761
243	567	1758
244	569	1756
245	571	1752
246	574	1751
247	577	1751
248	579	1748
249	582	1748
250	585	1745
251	587	1742
252	590	1744
253	592	1740
254	595	1738
255	597	1736
256	599	1733
257	602	1733
258	605	1732
259	608	1730
260	610	1729
261	613	1729
262	617	1729
263	620	1729
264	623	1729
265	625	1727
266	628	1725
267	630	1723
268	633	1722
269	636	1720
270	638	1717
271	640	1715
272	643	1712
273	644	1708
274	646	1705
275	649	1703
276	651	1699
277	653	1698
278	656	1696
279	659	1696
280	663	1696
281	666	1695
282	668	1694
283	671	1692
284	674	1692
285	676	1689
286	679	1688
287	682	1686
288	685	1685
289	688	1684
290	690	1683
291	693	1681
292	696	1680
293	698	1678
294	701	1676
295	704	1674
296	707	1674
297	710	1672
298	712	1671
299	715	1669
300	718	1667
301	720	1664
302	722	1661
303	724	1658
304	727	1656
305	729	1653
306	731	1651
307	733	1648
308	735	1644
309	737	1642
310	740	1640
311	742	1636
312	744	1634
313	746	1631
314	748	1627
315	750	1624
316	752	1622
317	754	1618
318	756	1614
319	758	1611
320	760	1608
321	762	1605
322	764	1602
323	767	1601
324	769	1598
325	772	1596
326	774	1593
327	776	1590
328	779	1589
329	781	1587
330	784	1585
331	787	1584
332	789	1581
333	791	1579
334	794	1576
335	796	1574
336	798	1571
337	800	1568
338	803	1566
339	805	1563
340	807	1561
341	809	1558
342	812	1556
343	815	1554
344	817	1552
345	819	1549
346	821	1545
347	824	1544
348	826	1541
349	828	1538
350	830	1535
351	832	1532
352	834	1529
353	836	1525
354	838	1524
355	840	1521
356	842	1517
357	844	1515
358	846	1511
359	848	1508
360	850	1505
361	852	1502
362	854	1499
363	856	1496
364	858	1493
365	860	1490
366	862	1488
367	865	1486
368	867	1483
369	869	1480
370	871	1478
371	873	1475
372	875	1471
373	877	1468
374	879	1466
375	881	1462
376	883	1460
377	886	1457
378	887	1454
379	889	1451
380	892	1449
381	894	1446
382	895	1443
383	898	1440
384	900	1438
385	902	1434
386	904	1433
387	907	1430
388	908	1427
389	911	1425
390	913	1422
391	915	1419
392	916	1416
393	918	1413
394	921	1410
395	922	1407
396	925	1405
397	927	1402
398	928	1398
399	930	1396
400	932	1393
401	935	1390
402	937	1388
403	939	1385
404	940	1382
405	943	1379
406	944	1376
407	946	1373
408	948	1370
409	949	1366
410	951	1363
411	953	1360
412	955	1358
413	957	1355
414	958	1351
415	960	1349
416	962	1346
417	964	1343
418	966	1340
419	968	1337
420	970	1335
421	973	1332
422	975	1330
423	977	1327
424	980	1325
425	982	1323
426	984	1321
427	987	1319
428	989	1316
429	991	1314
430	994	1312
431	996	1309
432	998	1307
433	1000	1305
434	1002	1302
435	1004	1299
436	1007	1298
437	1009	1295
438	1011	1292
439	1013	1290
440	1015	1287
441	1018	1285
442	1020	1283
443	1022	1280
444	1025	1278
445	1027	1276
446	1029	1274
447	1032	1271
448	1034	1269
449	1036	1267
450	1038	1264
451	1041	1262
452	1043	1260
453	1045	1257
454	1048	1256
455	1050	1253
456	1053	1251
457	1055	1249
458	1057	1246
459	1060	1244
460	1062	1242
461	1065	1241
462	1068	1239
463	1071	1237
464	1074	1236
465	1076	1233
466	1080	1232
467	1082	1230
468	1085	1229
469	1088	1226
470	1090	1224
471	1093	1223
472	1096	1221
473	1099	1220
474	1102	1218
475	1105	1217
476	1108	1215
477	1110	1213
478	1113	1210
479	1115	1208
480	1118	1206
481	1120	1204
482	1123	1202
483	1126	1200
484	1128	1198
485	1130	1195
486	1133	1193
487	1135	1190
488	1137	1188
489	1139	1186
490	1141	1183
491	1144	1181
492	1146	1179
493	1148	1176
494	1150	1173
495	1153	1172
496	1155	1169
497	1157	1167
498	1159	1164
499	1161	1161
500	1163	1159
501	1166	1157
502	1168	1154
503	1170	1152
504	1172	1149
505	1174	1146
506	1176	1143
507	1178	1141
508	1180	1138
509	1181	1135
510	1183	1132
511	1185	1129
512	1187	1127
513	1189	1124
514	1190	1121
515	1192	1118
516	1194	1115
517	1195	1112
518	1197	1109
519	1199	1106
520	1200	1103
521	1202	1101
522	1204	1098
523	1205	1095
524	1207	1092
525	1209	1089
526	1210	1086
527	1212	1083
528	1214	1081
529	1215	1078
530	1217	1075
531	1219	1072
532	1221	1069
533	1222	1067
534	1224	1064
535	1226	1061
536	1227	1058
537	1229	1056
538	1231	1053
539	1233	1050
540	1235	1047
541	1236	1045
542	1238	1042
543	1240	1039
544	1241	1036
545	1243	1033
546	1244	1031
547	1246	1028
548	1248	1025
549	1250	1022
550	1251	1020
551	1253	1017
552	1255	1014
553	1256	1011
554	1258	1009
555	1260	1006
556	1261	1003
557	1263	1000
558	1265	998
559	1267	995
560	1268	992
561	1270	990
562	1272	987
563	1273	984
564	1275	981
565	1277	979
566	1278	976
567	1280	973
568	1282	971
569	1283	968
570	1285	965
571	1287	963
572	1288	960
573	1290	957
574	1292	955
575	1294	952
576	1295	949
577	1297	947
578	1299	944
579	1300	942
580	1302	939
581	1304	936
582	1305	934
583	1307	931
584	1309	928
585	1311	926
586	1312	923
587	1314	921
588	1316	918
589	1317	915
590	1319	913
591	1321	910
592	1323	908
593	1324	905
594	1326	902
595	1328	900
596	1329	897
597	1331	895
598	1333	892
599	1335	890
600	1336	887
601	1338	884
602	1339	882
603	1341	879
604	1343	877
605	1345	874
606	1347	872
607	1349	870
608	1351	867
609	1353	865
610	1355	862
611	1356	860
612	1358	857
613	1360	855
614	1362	852
615	1364	850
616	1366	848
617	1368	845
618	1370	843
619	1372	841
620	1374	838
621	1375	836
622	1377	833
623	1379	831
624	1381	828
625	1382	826
626	1384	823
627	1386	821
628	1388	818
629	1389	816
630	1391	813
631	1393	811
632	1394	808
633	1396	806
634	1398	803
635	1399	801
636	1401	798
637	1403	796
638	1405	793
639	1407	791
640	1408	789
641	1410	786
642	1412	784
643	1413	781
644	1415	779
645	1417	776
646	1419	774
647	1421	771
648	1422	769
649	1424	767
650	1426	764
651	1427	762
652	1429	759
653	1431	757
654	1433	754
655	1434	752
656	1436	749
657	1438	747
658	1439	745
659	1441	742
660	1443	740
661	1444	737
662	1446	735
663	1448	732
664	1450	730
665	1452	728
666	1453	725
667	1455	723
668	1457	721
669	1459	718
670	1461	716
671	1463	714
672	1465	711
673	1466	709
674	1468	707
675	1470	704
676	1472	702
677	1473	700
678	1475	697
679	1477	695
680	1479	692
681	1481	690
682	1482	688
683	1484	685
684	1486	683
685	1487	680
686	1489	678
687	1491	676
688	1493	673
689	1494	671
690	1496	669
691	1498	666
692	1499	664
693	1501	662
694	1503	659
695	1505	657
696	1507	655
697	1508	652
698	1510	650
699	1512	648
700	1513	645
701	1515	643
702	1517	641
703	1519	638
704	1520	636
705	1522	634
706	1524	631
707	1526	629
708	1527	627
709	1529	624
710	1531	622
711	1532	620
712	1534	617
713	1536	615
714	1537	612
715	1539	610
716	1541	608
717	1543	606
718	1545	603
719	1547	601
720	1548	599
721	1550	597
722	1552	594
723	1554	592
724	1556	590
725	1558	588
726	1560	586
727	1563	584
728	1565	581
729	1567	579
730	1569	577
731	1570	575
732	1572	572
733	1574	570
734	1576	568
735	1578	566
736	1580	563
737	1582	561
738	1583	559
739	1585	557
740	1587	554
741	1589	552
742	1591	550
743	1593	548
744	1594	545
745	1596	543
746	1598	541
747	1599	538
748	1601	536
749	1603	534
750	1604	532
751	1606	529
752	1608	527
753	1610	525
754	1612	523
755	1613	520
756	1615	518
757	1616	516
758	1618	513
759	1619	511
760	1621	509
761	1623	507
762	1624	504
763	1626	502
764	1628	500
765	1629	497
766	1631	495
767	1633	493
768	1634	491
769	1636	488
770	1638	486
771	1639	484
772	1641	482
773	1643	480
774	1645	477
775	1647	475
776	1649	473
777	1651	471
778	1653	468
779	1654	466
780	1656	464
781	1658	462
782	1660	460
783	1662	457
784	1664	455
785	1665	453
786	1667	451
787	1669	449
788	1670	446
789	1672	444
790	1674	442
791	1676	440
792	1678	438
793	1679	435
794	1681	433
795	1683	431
796	1684	429
797	1686	426
798	1688	424
799	1690	422
800	1691	420
801	1693	418
802	1695	415
803	1697	413
804	1698	411
805	1700	409
806	1702	407
807	1703	404
808	1705	402
809	1707	400
810	1708	398
811	1710	396
812	1712	393
813	1714	391
814	1716	389
815	1717	387
816	1719	385
817	1720	382
818	1722	380
819	1724	378
820	1726	376
821	1727	374
822	1729	371
823	1731	369
824	1732	367
825	1734	365
826	1735	363
827	1738	361
828	1740	358
829	1742	356
830	1743	354
831	1745	352
832	1747	350
833	1749	348
834	1752	346
835	1757	344
836	1761	343
837	1764	341
838	1768	339
839	1772	337
840	1775	335
841	1778	333
842	1780	331
843	1782	329
844	1785	327
845	1788	325
846	1790	323
847	1792	321
848	1794	319
849	1796	317
850	1798	314
851	1800	312
852	1802	310
853	1804	308
854	1806	306
855	1808	304
856	1809	301
857	1811	299
858	1813	297
859	1815	295
860	1816	293
861	1818	291
862	1820	288
863	1822	286
864	1823	284
865	1825	282
866	1827	280
867	1829	278
868	1830	275
869	1832	273
870	1834	271
871	1835	269
872	1837	267
873	1838	265
874	1840	262
875	1842	260
876	1844	258
877	1845	256
878	1847	254
879	1849	252
880	1851	250
881	1852	247
882	1854	245
883	1856	243
884	1857	241
885	1859	239
886	1861	237
887	1863	234
888	1864	232
889	1866	230
890	1868	228
891	1870	226
892	1872	224
893	1873	222
894	1875	220
895	1877	217
896	1878	215
897	1880	213
898	1882	211
899	1884	209
900	1886	207
901	1888	205
902	1889	202
903	1891	200
904	1893	198
905	1894	196
906	1896	194
907	1898	192
908	1899	190
909	1901	188
910	1903	185
911	1904	183
912	1906	181
913	1908	179
914	1910	177
915	1911	175
916	1913	173
917	1915	171
918	1916	168
919	1918	166
920	1919	164
921	1921	162
922	1923	160
923	1924	158
924	1926	156
925	1928	154
926	1930	152
927	1932	149
928	1934	147
929	1936	145
930	1938	143
931	1940	141
932	1942	139
933	1944	137
934	1946	135
935	1948	133
936	1950	131
937	1952	129
938	1954	126
939	1956	124
940	1958	122
941	1960	120
942	1962	118
943	1963	116
944	1965	114
945	1967	112
946	1969	110
947	1971	108
948	1972	106
949	1974	103
950	1976	101
951	1978	99
952	1980	97
953	1982	95
954	1984	93
955	1985	91
956	1987	89
957	1989	87
958	1991	85
959	1993	83
960	1995	80
961	1996	78
962	1998	76
963	2000	74
964	2001	72
965	2003	70
966	2005	68
967	2007	66
968	2009	64
969	2010	62
970	2012	60
971	2014	58
972	2015	55
973	2017	53
974	2019	51
975	2021	49
976	2023	47
977	2024	45
978	2026	43
979	2028	41
980	2030	39
981	2032	37
982	2034	35
983	2036	33
984	2038	31
985	2040	28
986	2042	26
987	2044	24
988	2046	22
989	2048	20
990	2049	18
991	2052	16
992	2054	14
993	2056	12
994	2058	10
995	2060	8
996	2061	6
997	2063	4
998	2065	2
999	2067	0
