iter	RMSE
359	441983.8387
360	441964.1697
361	441925.9409
362	441870.8651
363	441818.0805
364	441768.8201
365	441731.4831
366	441658.9217
367	441634.9605
368	441615.9015
369	441579.1127
370	441465.7853
371	441455.2495
372	441453.9624
373	441414.7806
374	441367.0477
375	441356.6408
376	441334.1682
377	441311.081
378	441270.8815
379	441229.8689
380	441208.6132
381	441204.6936
382	441203.3341
383	441184.9284
384	441183.8283
385	441122.4255
386	441088.0917
387	441035.7834
388	441013.785
389	441001.3635
390	440951.8874
391	440899.2265
392	440898.6791
393	440881.0312
394	440814.8451
395	440779.5171
396	440762.2643
397	440731.2255
398	440698.6422
399	440641.2533
400	440625.1863
401	440596.3754
402	440549.5458
403	440522.2365
404	440521.1824
405	440489.9465
406	440478.6017
407	440451.8649
408	440429.9174
409	440427.644
410	440403.1938
411	440379.4484
412	440361.73
413	440351.3368
414	440339.4857
415	440324.7859
416	440322.8621
417	440301.7789
418	440264.9086
419	440227.8666
420	440202.4377
421	440125.2333
422	440124.7693
423	440099.2712
424	440053.2072
425	440034.4109
426	440021.1102
427	439955.0656
428	439953.1309
429	439927.0766
430	439887.6751
431	439850.8505
432	439836.5637
433	439819.055
434	439771.2287
435	439666.054
436	439623.0817
437	439621.8968
438	439596.0781
439	439560.7395
440	439535.9138
441	439523.5472
442	439512.187
443	439471.2321
444	439435.8537
445	439415.331
446	439390.4753
447	439358.9761
448	439346.8509
449	439303.1941
450	439290.8798
451	439248.619
452	439209.5673
453	439184.7136
454	439139.9106
455	439109.294
456	439077.4994
457	439067.0731
458	439054.9856
459	439053.8527
460	439042.3236
461	439023.4399
462	438977.1189
463	438939.8704
464	438924.9625
465	438923.7174
466	438914.7068
467	438885.6492
468	438852.8853
469	438797.6314
470	438793.4557
471	438770.7508
472	438757.907
473	438742.1053
474	438690.7016
475	438671.6812
476	438643.3418
477	438608.2759
478	438580.9869
479	438547.8492
480	438534.8134
481	438473.5945
482	438466.6301
483	438441.2102
484	438381.2094
485	438367.8826
486	438341.0419
487	438296.7881
488	438261.4769
489	438233.1392
490	438210.2007
491	438192.6048
492	438161.5651
493	438135.5279
494	438107.3877
495	438074.4888
496	437981.6861
497	437970.5112
498	437923.9602
499	437915.2612
500	437891.4753
501	437849.6839
502	437807.8242
503	437768.9369
504	437723.4831
505	437687.7346
506	437657.9165
507	437628.573
508	437591.1726
509	437546.6219
510	437537.0235
511	437508.4149
512	437488.7589
513	437437.2642
514	437422.0632
515	437403.2237
516	437374.874
517	437334.193
518	437309.7971
519	437297.6853
520	437278.8222
521	437264.2694
522	437233.2409
523	437205.6017
524	437189.5019
525	437152.1355
526	437136.7191
527	437086.8906
528	437078.8336
529	437064.0866
530	437042.5305
531	436999.7008
532	436973.8849
533	436966.1789
534	436936.1021
535	436882.9114
536	436870.3908
537	436826.5052
538	436773.1819
539	436758.0009
540	436731.0668
541	436715.2707
542	436700.6767
543	436682.8797
544	436672.1776
545	436634.283
546	436597.2701
547	436563.8744
548	436539.9296
549	436491.876
550	436465.308
551	436416.7425
552	436369.5006
553	436345.1858
554	436320.6478
555	436307.7585
556	436276.5365
557	436261.3016
558	436233.9674
559	436211.1909
560	436181.7633
561	436149.3779
562	436129.6677
563	436102.4108
564	436079.2876
565	436062.7923
566	436013.7364
567	435987.848
568	435930.9525
569	435899.4521
570	435886.0772
571	435861.0441
572	435839.3001
573	435829.8411
574	435802.4731
575	435783.0559
576	435758.9745
577	435734.5184
578	435712.3584
579	435695.3998
580	435680.1336
581	435674.4613
582	435659.0959
583	435627.2792
584	435592.6986
585	435557.2026
586	435514.7431
587	435503.5786
588	435490.2986
589	435456.5678
590	435433.6849
591	435410.3971
592	435396.4425
593	435389.3276
594	435360.2551
595	435337.2973
596	435304.8208
597	435304.3095
598	435267.8638
599	435257.5018
600	435257.0544
601	435240.9799
602	435220.0397
603	435202.2258
604	435187.6005
605	435166.4036
606	435156.419
607	435149.4596
608	435137.3821
609	435116.4301
610	435097.2983
611	435080.2201
612	435045.9083
613	435038.28
614	435023.3969
615	435011.6303
616	434996.8138
617	434971.6474
618	434957.9042
619	434952.9035
620	434926.2005
621	434925.9163
622	434911.9098
623	434894.4349
624	434872.8422
625	434862.8102
626	434840.7849
627	434816.3107
628	434805.0535
629	434764.3642
630	434738.9016
631	434718.801
632	434718.4192
633	434709.0965
634	434670.2023
635	434658.214
636	434632.323
637	434611.2205
638	434592.9108
639	434575.5121
640	434561.065
641	434546.8785
642	434516.3803
643	434503.8105
644	434491.9169
645	434456.0566
646	434446.8849
647	434429.2934
648	434346.2088
649	434328.7665
650	434328.366
651	434293.8951
652	434277.1566
653	434255.1463
654	434235.0487
655	434219.9712
656	434204.9934
657	434188.6064
658	434160.2748
659	434159.4951
660	434118.3417
661	434117.9566
662	434084.8342
663	434070.1442
664	434057.1373
665	434043.9093
666	434032.5519
667	434014.4168
668	433986.253
669	433955.9247
670	433919.9232
671	433916.6591
672	433859.0076
673	433838.8735
674	433807.9536
675	433795.1202
676	433766.3639
677	433742.03
678	433693.2022
679	433672.7871
680	433647.0393
681	433611.5314
682	433589.873
683	433565.3103
684	433554.0884
685	433535.4341
686	433515.8019
687	433493.274
688	433458.28
689	433443.1523
690	433425.5124
691	433383.767
692	433353.4864
693	433329.7149
694	433320.9712
695	433314.9381
696	433292.909
697	433253.0063
698	433228.6507
699	433228.2317
700	433205.0131
701	433179.0963
702	433167.1586
703	433148.0915
704	433106.1177
705	433101.9608
706	433051.0085
707	433030.3401
708	433012.2998
709	433004.6565
710	432999.4191
711	432992.3403
712	432970.5474
713	432970.4017
714	432969.1803
715	432961.131
716	432960.9128
717	432954.3356
718	432954.0011
719	432936.8933
720	432923.4195
721	432912.3967
722	432880.5123
723	432859.8732
724	432829.9017
725	432814.4143
726	432769.5821
727	432758.1604
728	432754.2758
729	432744.4418
730	432729.6127
731	432692.8401
732	432685.6764
733	432665.0962
734	432634.4552
735	432602.8186
736	432573.3729
737	432557.5607
738	432542.9474
739	432528.8131
740	432505.1097
741	432504.4063
742	432488.5824
743	432476.3782
744	432449.648
745	432441.4031
746	432434.9011
747	432424.6319
748	432390.1818
749	432383.8499
750	432369.4756
751	432345.5088
752	432298.2145
753	432283.994
754	432271.4564
755	432235.9446
756	432235.3606
757	432225.3134
758	432224.7525
759	432204.19
760	432169.6493
761	432122.573
762	432122.2524
763	432120.5446
764	432092.9022
765	432079.667
766	432068.9457
767	432057.9616
768	432051.0426
769	432041.0518
770	432014.6041
771	431983.2969
772	431974.2289
773	431905.4271
774	431878.6184
775	431872.5855
776	431847.7272
777	431830.6362
778	431814.7652
779	431803.3679
780	431796.6026
781	431767.2645
782	431749.4736
783	431736.9431
784	431710.9142
785	431685.4881
786	431660.6526
787	431654.7175
788	431626.8332
789	431601.5473
790	431591.5304
791	431563.9798
792	431549.2376
793	431522.1952
794	431501.6955
795	431481.7103
796	431449.0372
797	431425.4557
798	431411.8006
799	431395.9618
800	431380.8427
801	431355.1475
802	431341.3086
803	431326.8974
804	431292.7541
805	431289.2876
806	431274.682
807	431266.0983
808	431238.9089
809	431221.6761
810	431201.8427
811	431173.1503
812	431154.1428
813	431145.223
814	431123.8847
815	431090.6188
816	431071.5262
817	431071.2446
818	431049.7137
819	431036.4374
820	431034.2912
821	431020.967
822	431006.6313
823	430989.076
824	430988.6131
825	430971.6461
826	430966.753
827	430949.8259
828	430941.7819
829	430905.9703
830	430894.2382
831	430884.2776
832	430873.7766
833	430867.4174
834	430848.7309
835	430827.5244
836	430800.8175
837	430795.9727
838	430788.591
839	430778.5993
840	430760.6641
841	430738.7447
842	430729.0192
843	430724.5746
844	430716.7562
845	430702.48
846	430697.2859
847	430676.8221
848	430676.5822
849	430654.8821
850	430643.1558
851	430625.7406
852	430612.6969
853	430605.5153
854	430598.8157
855	430587.7006
856	430573.4874
857	430563.4927
858	430541.4507
859	430515.259
860	430506.6576
861	430468.6049
862	430442.7102
863	430439.0573
864	430438.472
865	430428.149
866	430368.32
867	430342.0209
868	430333.0314
869	430312.8925
870	430294.2041
871	430293.9782
872	430284.0798
873	430254.7504
874	430234.2412
875	430203.6049
876	430192.9986
877	430178.3912
878	430148.0327
879	430147.3819
880	430125.9424
881	430110.5823
882	430091.0921
883	430073.3405
884	430062.7782
885	430044.8987
886	430036.8732
887	430025.1708
888	430013.8053
889	429987.492
890	429963.0319
891	429936.3296
892	429898.0148
893	429879.7053
894	429870.1981
895	429858.2471
896	429850.1497
897	429836.6749
898	429808.711
899	429793.1555
900	429774.7015
901	429752.233
902	429738.8126
903	429728.6297
904	429713.1725
905	429705.8155
906	429691.1645
907	429671.6003
908	429646.66
909	429625.3106
910	429589.7629
911	429576.5887
912	429569.233
913	429546.6961
914	429536.0806
915	429524.0018
916	429513.9929
917	429500.4274
918	429489.2963
919	429489.1735
920	429470.6176
921	429470.5249
922	429455.2109
923	429433.6406
924	429382.226
925	429359.0105
926	429345.1755
927	429331.595
928	429322.9411
929	429279.3576
930	429255.6907
931	429239.9233
932	429216.6985
933	429216.6269
934	429209.6756
935	429203.0952
936	429189.5637
937	429172.996
938	429162.6696
939	429138.7469
940	429130.8761
941	429116.8406
942	429100.4597
943	429072.1783
944	429042.577
945	429042.4175
946	429031.8142
947	429020.0404
948	428994.7902
949	428977.3311
950	428972.5386
951	428963.4791
952	428939.5125
953	428915.6549
954	428915.0268
955	428877.3062
956	428853.0321
957	428844.9538
958	428830.7817
959	428826.186
960	428819.4697
961	428819.3145
962	428789.8554
963	428779.7811
964	428757.8452
965	428745.5282
966	428729.3665
967	428714.3221
968	428707.7174
969	428676.3829
970	428670.0012
971	428661.1799
972	428648.5072
973	428628.574
974	428594.4472
975	428587.2829
976	428575.3968
977	428562.5019
978	428547.9803
979	428534.5301
980	428530.3219
981	428494.7083
982	428484.9813
983	428464.5106
984	428457.7318
985	428447.2467
986	428434.5798
987	428427.2529
988	428413.6356
989	428403.8648
990	428400.648
991	428390.0422
992	428375.7791
993	428366.8662
994	428357.3281
995	428343.8473
996	428336.6713
997	428321.0783
998	428311.9291
999	428293.9672
